time,success,fail,total,success_rate
12:07:29,0,4,4,0.000
12:07:31,0,1,1,0.000
12:07:32,0,3,3,0.000
12:07:33,2,1,3,0.667
12:07:35,0,2,2,0.000
12:07:36,0,3,3,0.000
12:07:38,0,2,2,0.000
12:07:39,0,3,3,0.000
12:07:40,0,3,3,0.000
12:07:42,0,2,2,0.000
12:07:43,0,2,2,0.000
12:07:44,0,2,2,0.000
12:07:45,1,2,3,0.333
12:07:48,0,1,1,0.000
12:07:50,0,3,3,0.000
12:07:51,1,1,2,0.500
12:07:52,0,1,1,0.000
12:07:54,1,0,1,1.000
12:07:56,0,0,1,0.000
12:07:57,0,1,1,0.000
12:07:58,0,3,3,0.000
12:07:59,0,1,1,0.000
12:08:00,0,3,3,0.000
12:08:02,0,4,4,0.000
12:08:03,0,2,2,0.000
12:08:04,0,2,2,0.000
12:08:06,0,1,1,0.000
12:08:07,0,3,3,0.000
12:08:08,0,1,1,0.000
12:08:09,0,3,3,0.000
12:08:12,0,4,4,0.000
12:08:13,0,2,2,0.000
12:08:14,0,2,2,0.000
12:08:16,1,1,2,0.500
12:08:17,0,1,1,0.000
12:08:18,0,3,3,0.000
12:08:20,1,0,1,1.000
12:08:22,0,0,1,0.000
12:08:24,0,1,1,0.000
12:08:25,0,3,3,0.000
12:08:27,0,1,1,0.000
12:08:28,0,3,3,0.000
12:08:31,0,3,3,0.000
12:08:32,0,1,1,0.000
12:08:33,1,0,1,1.000
12:08:34,1,1,2,0.500
12:08:35,0,1,1,0.000
12:08:37,0,1,1,0.000
12:08:38,0,3,3,0.000
12:08:41,0,3,3,0.000
12:08:42,0,1,1,0.000
12:08:43,0,2,2,0.000
12:08:44,0,2,2,0.000
12:08:46,0,2,2,0.000
12:08:47,1,2,3,0.333
12:08:48,1,0,1,1.000
12:08:50,0,1,1,0.000
12:08:52,0,2,2,0.000
12:08:53,0,2,2,0.000
12:08:55,0,4,4,0.000
12:08:58,0,3,3,0.000
12:08:59,0,2,2,0.000
12:09:00,0,3,3,0.000
12:09:01,0,3,3,0.000
12:09:02,0,3,3,0.000
12:09:03,0,4,4,0.000
12:09:04,0,2,2,0.000
12:09:05,1,0,1,1.000
12:09:07,0,1,1,0.000
12:09:08,1,0,1,1.000
12:09:10,0,0,1,0.000
12:09:11,0,1,1,0.000
12:09:12,0,3,3,0.000
12:09:13,0,3,3,0.000
12:09:14,0,1,1,0.000
12:09:16,0,4,4,0.000
12:09:19,0,3,3,0.000
12:09:20,0,1,1,0.000
12:09:21,0,1,1,0.000
12:09:22,0,3,3,0.000
12:09:24,0,3,3,0.000
12:09:25,0,3,3,0.000
12:09:26,0,2,2,0.000
